Age,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,NewAdditions,DiffSizes,EditDistances,CriticalEditDistances,TangledWMoveandFileRename,Buggycommiit,PotentiallyBuggycommit,RiskyCommit,file,Decision,Detection,result
1360,3#3#3#3#3#3,0.9235057830810547#0.9235057830810547#0.9235057830810547#0.6911425590515137#0.8051077127456665#0.8524433374404907,0.9082679409010616#0.9082679409010616#0.9082679409010616#0.9616244031305391#0.9623116339658864#0.9656094623552498,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,3.77#3.77#3.77#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#40#56#297#344#948,0#0#0#3#1#1,0#0#0#6#2#2,0#0#0#25#10#4,0#0#0#9#10#4,0#24#4#126#344#91,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,2812.json,NotBuggy,NotBuggy,
1011,13#13#12,0.04278020188212395#0.04278020188212395#0.1011737808585167,0.004420207283330105#0.004420207283330105#0.05804535561438583,3#3#3,2#2#2,5#5#5,3#3#3,5.66#5.66#6.36,3#3#3,4#4#4,81.0#81.0#70.0,97.53760528564453#97.53760528564453#99.79756927490234,0#0#0,1#1#1,2#2#1,0#1#3,0#0#3,0#0#5,0#0#69,0#0#105,0#27#103,0#0#1,0#0#1,0#0#1,5045.json,Buggy,NotBuggy,NotBuggy
1023,33,0.06202000379562378,0.0015361675221264453,1,1,2,2,5.28,2,1,146.0,79.03742218017578,0,0,2,0,0,0,0,0,0,0,0,0,4917.json,NotBuggy,NotBuggy,
1016,3#3,0.5020562410354614#0.5336329936981201,0.9485784741002395#0.9574611548647418,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#172,0#1,0#2,0#10,0#10,0#218,0#0,0#0,0#0,4795.json,NotBuggy,NotBuggy,
1011,3,0.7612021565437317,0.9476528303828204,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0,0,0,0,2773.json,NotBuggy,NotBuggy,
1360,3#3#3#3#3#3#4,0.27758485078811646#0.27947181463241577#0.41482967138290405#0.4009033143520355#4.244873416610062E-4#3.340762050356716E-4#7.7287876047194E-4,0.5410472838766989#0.5362124966560206#0.540242674682276#0.5464545409010556#0.0772941370095965#0.15375478681301794#0.1023465775642082,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#1.89#1.89#20.27,0#0#0#0#0#0#0,1#1#1#1#3#4#3,22.0#22.0#22.0#22.0#38.0#35.0#40.0,129.47398376464844#129.47398376464844#129.47398376464844#129.47398376464844#126.07219696044922#126.63631439208984#121.02215576171875,0#0#0#0#0#0#0,0#0#0#0#2#2#3,0#0#0#0#0#0#0,0#49#65#160#297#344#956,0#1#2#1#3#1#3,0#2#4#2#6#2#5,0#7#14#6#86#20#152,0#7#14#6#70#20#102,0#2#125#21#126#344#227,0#0#0#1#0#0#0,0#0#1#1#0#0#0,0#0#1#1#0#0#0,2953.json,Buggy,NotBuggy,NotBuggy
1016,4#4#4,0.14743997156620026#0.14743997156620026#0.14002209901809692,0.4615690298184291#0.4615690298184291#0.4656693586147856,0#0#0,0#0#0,0#0#0,1#1#1,2.0#2.0#2.0,0#0#0,2#2#2,29.0#29.0#29.0,123.19084167480469#123.19084167480469#123.19084167480469,0#0#0,1#1#1,0#0#0,0#5#173,0#0#1,0#0#2,0#0#4,0#0#4,0#251#62,0#0#0,0#0#0,0#0#0,4376.json,NotBuggy,NotBuggy,
1011,3#4#4,0.5934724807739258#0.28460749983787537#0.07911744713783264,0.8857753517993264#0.5709939770720954#0.32967959885277714,1#1#1,1#1#1,2#2#2,2#2#2,1.89#2.0#2.0,0#0#0,1#2#2,17.0#27.0#32.0,130.9235076904297#123.24842071533203#122.28609466552734,0#0#0,0#0#0,0#0#0,0#367#606,0#1#1,0#1#2,0#50#18,0#46#18,0#50#227,0#0#0,0#0#0,0#0#0,2742.json,NotBuggy,NotBuggy,
1360,6#6#6#6#7#7#7#8,0.4365294575691223#0.4138583838939667#0.39854103326797485#0.41664159297943115#0.21269264817237854#0.2367045134305954#0.08611968904733658#0.5180310010910034,0.03567614385526643#0.035154495895275376#0.0374055712006878#0.06204670819477463#0.02530646059141014#0.022656073369043482#0.005505515021418774#0.0586717156056704,1#1#1#1#2#2#2#2,2#2#2#2#3#3#3#3,3#3#3#3#5#5#5#5,3#3#3#3#4#4#4#3,3.77#3.77#3.77#1.89#1.81#1.81#1.81#2.83,0#0#0#0#0#0#0#0,1#1#1#1#3#3#4#4,48.0#48.0#48.0#48.0#58.0#58.0#65.0#58.0,112.93401336669922#112.93401336669922#112.93401336669922#112.93401336669922#109.3342514038086#109.3342514038086#108.63020324707031#107.28950500488281,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1,0#65#76#297#344#517#542#591,0#2#1#6#6#2#1#6,0#4#2#12#11#4#2#9,0#30#5#43#123#42#49#63,0#30#5#0#127#42#49#40,0#125#26#126#344#218#34#20,0#0#0#0#0#0#0#0,0#1#0#0#0#0#0#0,0#1#0#0#0#0#0#0,3156.json,NotBuggy,NotBuggy,
1154,13#13#12#12#12#12#12#12#17#17#17#17#17,0.033909671008586884#0.03344099223613739#0.17122702300548553#0.1747342348098755#0.1796342134475708#0.17903345823287964#0.1724543422460556#0.18198181688785553#0.05391658842563629#0.06484369933605194#0.04718382656574249#0.04718382656574249#0.05559995397925377,4.245952764581975E-6#4.289581217395847E-6#4.296474191916994E-4#4.359807430520551E-4#1.8348113106298754E-4#1.73056073881645E-4#1.709469185717028E-4#1.0483153796545353E-4#1.2439743673540593E-6#2.5438387567664357E-6#1.5463014563509951E-6#1.5463014563509951E-6#1.5093508621679789E-6,3#3#3#3#3#3#3#3#3#3#3#3#3,2#2#2#2#2#2#2#2#2#2#2#2#2,5#5#5#5#5#5#5#5#5#5#5#5#5,4#4#4#4#4#4#4#4#4#4#4#4#4,3.2#3.2#3.32#3.32#3.32#3.32#3.32#3.32#3.39#3.39#3.39#3.39#3.39,2#2#2#2#2#2#2#2#2#2#2#2#2,4#4#3#3#3#3#3#4#5#4#4#4#4,108.0#108.0#86.0#86.0#90.0#90.0#90.0#92.0#122.0#119.0#121.0#121.0#121.0,95.1817855834961#95.1817855834961#97.86740112304688#97.86740112304688#97.59931182861328#97.56851959228516#97.56851959228516#97.4242935180664#90.07691192626953#90.2302474975586#90.11971282958984#90.11971282958984#90.11971282958984,0#0#0#0#0#0#0#0#0#0#0#0#0,3#3#2#2#2#2#2#2#1#1#1#1#1,4#4#4#4#4#4#4#4#4#4#4#4#4,0#4#78#91#138#174#215#311#400#472#575#602#639,0#2#3#1#1#1#2#1#8#1#1#0#3,0#4#7#2#2#2#4#2#11#2#2#0#6,0#9#136#2#19#19#9#11#247#16#6#0#21,0#9#139#0#19#19#9#11#227#16#7#0#21,0#124#2#126#344#28#155#218#10#203#12#1#367,0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#1#0#0#0#1,0#0#0#0#0#0#0#0#1#0#0#0#1,194.json,Buggy,Buggy,Buggy
757,7#7#7,0.06998755037784576#0.05815710127353668#0.05815710127353668,0.041391519025797976#0.0384344248654148#0.0384344248654148,0#0#0,0#0#0,0#0#0,1#1#1,1.81#1.81#1.81,0#0#0,3#3#3,51.0#51.0#51.0,110.69306182861328#110.69306182861328#110.69306182861328,0#0#0,1#1#1,1#1#1,0#186#204,0#2#0,0#4#0,0#20#0,0#20#0,0#44#1,0#0#0,0#0#0,0#0#0,188.json,NotBuggy,NotBuggy,
1010,3#3#3#3,0.6372058391571045#0.8692747354507446#0.8781096935272217#0.8718015551567078,0.7685849910791266#0.7108028692261502#0.7219255603657672#0.7125532235678369,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,16.0#20.0#20.0#20.0,131.46876525878906#130.18594360351562#130.18594360351562#130.18594360351562,0#0#0#0,0#1#1#1,0#0#0#0,0#454#457#494,0#2#1#1,0#4#2#2,0#73#20#7,0#73#20#7,0#19#46#367,0#0#0#1,0#0#0#1,0#0#0#1,5029.json,Buggy,NotBuggy,NotBuggy
1360,1#3#3#3#3,0.9880495071411133#0.9700493812561035#0.9700493812561035#0.9676591753959656#0.9676591753959656,0.8055316941025739#0.9862614833288892#0.9862614833288892#0.992231209476453#0.992231209476453,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.0#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,13.0#13.0#13.0#12.0#12.0,150.7931671142578#132.9956512451172#132.9956512451172#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#297#705#714#722,0#3#1#2#1,0#4#2#4#2,0#41#1#8#1,0#0#1#8#1,0#126#99#392#204,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0,2297.json,NotBuggy,NotBuggy,
999,13#12#12#12#12#12#12#47#47#44#49#49#49#49#50#50#50#50#50#50#51#51#51#51#51#51#62#60#61#61#65#65#65#65#65#70#70#70#85#85#86,0.09903869032859802#0.10435324162244797#0.006257569883018732#0.034132182598114014#0.030139561742544174#0.022004764527082443#0.029377279803156853#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,9.020625138176623E-4#0.005820968681967103#1.740545012377556E-4#0.00216648227773031#9.129398933431088E-4#2.808849574873705E-4#9.012518541856567E-4#4.533249945551298E-25#4.550195657911988E-25#2.4912539410481887E-24#1.4533743570250379E-28#1.922903471156646E-29#8.096916017790772E-31#1.400407729761226E-30#2.7066339501458735E-30#2.7066339501458735E-30#2.7066339501458735E-30#2.7066339501458735E-30#2.7093759908512942E-30#2.7163262127000957E-30#3.1334396139354927E-31#3.1105221552815895E-31#3.1105221552815895E-31#3.1105221552815895E-31#3.1105221552815895E-31#2.9832341125186175E-31#4.917824552522311E-42#4.661129763555011E-41#3.3887058311178894E-42#3.3887058311178894E-42#9.89628486190325E-47#9.869636092010245E-47#9.976642313956575E-47#3.2870151503328066E-47#3.2845996175910285E-47#1.8202019193390447E-24#9.449385703395916E-31#9.437381016737649E-31#2.1028760744882804E-37#2.1060985138504676E-37#4.6484693854512954E-39,0#0#0#0#0#0#0#11#11#10#10#11#11#11#10#10#10#10#10#10#10#10#10#10#10#10#12#11#12#12#12#12#12#12#12#14#14#14#18#18#18,0#0#0#0#0#0#0#11#11#10#10#10#10#10#9#9#9#9#9#9#9#9#9#9#9#9#11#10#11#11#11#11#11#11#11#13#13#13#15#15#15,0#0#0#0#0#0#0#22#22#20#20#21#21#21#19#19#19#19#19#19#19#19#19#19#19#19#23#21#23#23#23#23#23#23#23#27#27#27#33#33#33,4#3#3#3#3#3#3#14#14#13#14#14#14#14#13#13#13#13#13#13#13#13#13#13#13#13#15#14#15#15#15#15#15#15#15#17#17#17#19#19#19,4.18#4.26#4.26#4.26#4.26#4.26#4.26#6.26#6.26#6.27#6.21#6.21#6.21#6.21#6.28#6.28#6.28#6.28#6.28#6.28#6.22#6.22#6.22#6.22#6.22#6.22#5.8#5.99#5.94#5.94#6.31#6.31#6.31#6.31#6.31#9.37#8.92#8.92#9.29#9.29#9.28,2#2#2#2#2#2#2#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#6#6#6#6#6#6,4#4#4#4#4#6#4#27#27#24#29#32#32#32#31#31#31#31#31#31#33#33#33#33#33#33#47#50#51#51#55#55#55#56#56#45#45#45#57#57#59,88.0#76.0#90.0#79.0#83.0#88.0#83.0#367.0#367.0#353.0#400.0#410.0#422.0#420.0#419.0#419.0#419.0#419.0#419.0#419.0#427.0#427.0#427.0#427.0#427.0#427.0#537.0#529.0#542.0#542.0#586.0#586.0#586.0#589.0#589.0#520.0#544.0#544.0#642.0#642.0#656.0,96.35874938964844#98.80646514892578#97.79852294921875#98.60514831542969#98.31466674804688#97.9461669921875#98.31466674804688#64.93511962890625#64.93511962890625#66.4358901977539#63.74105453491211#63.6241569519043#63.4512825012207#63.47598648071289#63.39109802246094#63.39109802246094#63.39109802246094#63.39109802246094#63.39109802246094#63.39109802246094#62.92784881591797#62.92784881591797#62.92784881591797#62.92784881591797#62.92784881591797#62.92784881591797#57.901405334472656#58.74065017700195#58.099727630615234#58.099727630615234#56.592613220214844#56.592613220214844#56.592613220214844#56.55076217651367#56.55076217651367#55.73231887817383#55.4698371887207#55.4698371887207#50.96733856201172#50.96733856201172#50.63121795654297,0#0#1#1#1#1#1#0#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#0#0#0#0#0#0#0#0#1#1#1#1#1#1,2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#2#2#2#2#2#2,3#3#3#3#3#3#3#10#10#10#12#12#12#12#12#12#12#12#12#12#13#13#13#13#13#13#17#16#16#16#18#18#18#18#18#19#19#19#19#19#20,0#19#32#39#72#228#257#260#270#271#271#273#279#279#280#414#417#417#418#421#426#430#459#459#473#487#488#492#495#518#575#586#588#594#597#607#608#612#632#761#788,0#0#5#1#1#1#1#45#1#2#6#5#7#4#12#0#0#0#7#1#2#2#0#0#0#10#33#7#3#0#6#1#8#2#1#124#5#1#24#1#2,0#2#11#2#2#2#2#52#2#7#8#10#14#8#23#0#0#0#14#2#3#4#0#0#0#20#55#13#4#0#8#2#16#4#2#169#31#2#28#2#3,0#107#86#56#22#38#39#2090#12#263#314#243#111#128#172#0#0#0#45#5#110#22#0#0#0#89#1241#563#106#0#327#12#40#16#8#4945#1831#7#1279#16#100,0#71#74#56#22#38#38#1923#12#132#295#235#105#128#136#0#0#0#45#5#106#22#0#0#0#89#1129#239#88#0#309#12#40#16#8#2030#81#7#994#16#96,0#1#1#9#3#1#1#4#6#5#1#6#2#4#1#0#9#1#7#2#35#227#5#2#12#122#26#7#1#1#1#91#61#227#39#8#1#20#20#2#2,0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#1#0#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#1#0#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1,5527.json,Buggy,Buggy,Buggy
980,2#2,0.9978325366973877#0.9977238774299622,0.9907400745038032#0.9824547224143271,0#0,0#0,0#0,1#1,0.0#0.0,0#0,0#0,9.0#9.0,142.4026641845703#142.4026641845703,0#0,0#0,0#0,0#22,0#2,0#4,0#8,0#0,0#16,0#0,0#0,0#0,1404.json,NotBuggy,NotBuggy,
1295,5#5#5#4#4,0.4172031879425049#0.41467607021331787#0.3326438069343567#0.2425207793712616#0.16664421558380127,0.5740125610446725#0.7412045842122006#0.6944359582584176#0.6774620296751731#0.3679660555366218,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.92#1.96#1.96#2.0#2.0,0#0#0#0#0,2#2#3#2#3,26.0#26.0#26.0#23.0#30.0,120.43379974365234#120.43379974365234#120.43379974365234#124.7987289428711#123.20073699951172,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#232#279#284#739,0#5#2#0#1,0#10#4#1#2,0#32#54#17#23,0#0#54#13#24,0#126#344#251#7,0#0#0#0#0,0#0#0#0#1,0#0#0#0#1,3976.json,NotBuggy,NotBuggy,
761,13#13#13#16#16,0.009579287841916084#0.009579287841916084#0.021176522597670555#0.003805609419941902#0.0038061747327446938,7.498687427834903E-4#7.498687427834903E-4#0.002338932302355844#3.054392066723653E-5#3.426921910036927E-5,0#0#0#2#2,0#0#0#2#2,0#0#0#4#4,2#2#2#3#3,3.34#3.34#3.34#3.15#3.15,2#2#2#2#2,5#5#4#4#4,84.0#84.0#79.0#104.0#104.0,97.2193374633789#97.2193374633789#97.60895538330078#92.298828125#92.32718658447266,0#0#0#0#0,0#0#0#0#0,2#2#2#3#3,0#115#188#196#205,0#0#1#4#1,0#0#2#5#2,0#0#15#139#12,0#0#16#162#12,0#392#34#122#15,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,3045.json,NotBuggy,NotBuggy,
770,4#4#4#4#4,0.06072460860013962#0.10006418824195862#0.10006418824195862#0.1058838739991188#0.10687285661697388,0.168512275551992#0.15962882593417943#0.15962882593417943#0.15595472554494533#0.15964709030589475,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,2.0#2.0#2.0#2.0#2.0,0#0#0#0#0,4#4#4#4#4,35.0#35.0#35.0#35.0#35.0,122.05010986328125#121.97586059570312#121.97586059570312#121.97586059570312#121.97586059570312,0#0#0#0#0,1#1#1#1#1,0#0#0#0#0,0#0#1#259#366,0#1#0#1#1,0#2#0#2#2,0#1#0#5#4,0#1#0#5#4,0#3#0#122#227,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0,4586.json,NotBuggy,NotBuggy,
939,3#3,0.5192803740501404#0.7568413615226746,0.8539219883388569#0.9080387253290099,0#0,0#0,0#0,1#1,1.89#1.89,0#0,2#2,18.0#16.0,130.99049377441406#131.91592407226562,0#0,0#0,0#0,0#257,0#1,0#2,0#6,0#6,0#203,0#0,0#0,0#0,1423.json,NotBuggy,NotBuggy,
761,5#5,0.005267550703138113#0.0018782969564199448,0.03770943792016932#0.024557653887840463,3#3,2#2,5#5,2#2,2.99#2.99,0#0,4#4,47.0#49.0,116.22709655761719#115.95831298828125,0#0,1#1,0#0,0#544,0#1,0#2,0#10,0#10,0#56,0#0,0#0,0#0,3127.json,NotBuggy,NotBuggy,
